file_id	file_name	case_id	submitter_id	sample_type	sample_id
e485e192-ded2-4274-b773-1f817cd6df90	TCGA-BRCA.cdcbf3a0-b1eb-4a63-b669-f7a6438c6902.ascat3.gene_level_copy_number.v36.tsv	878f975b-94fd-4d69-b7e7-1ed3ac2ee438	TCGA-BH-A18H	Primary Tumor	9321161b-d568-4d38-aed3-956786a06329
c27e8e90-2ab5-4cc6-aa29-77da64c9a0bb	TCGA-BRCA.32d3f1cd-077f-43bf-843e-1fe9f0ec0cba.ascat3.gene_level_copy_number.v36.tsv	e4fc0909-f284-4471-866d-d8967b6adcbc	TCGA-E2-A14P	Primary Tumor	58bfe278-a80f-4722-b286-4d966214d244
6a4da6b5-1fe3-42f1-b387-892b504e0d3c	TCGA-BRCA.928be25e-9343-4042-a5c0-851465def55b.ascat3.gene_level_copy_number.v36.tsv	e5aae05a-478e-4a55-a27c-12b2b4be302a	TCGA-AN-A04A	Primary Tumor	1d8f72b7-8596-40e8-afdf-244dd897758c
69de36f3-27c2-459d-b98e-6972cec5e916	TCGA-BRCA.23353deb-8af1-474e-8654-70d444529e5e.ascat3.gene_level_copy_number.v36.tsv	5c9d8163-a68e-43ce-9cba-effb7405761e	TCGA-LL-A6FP	Blood Derived Normal	1eff5e1c-8cf7-4cb7-9a16-8ea6a91124dc
a39599fc-f738-4103-ae16-4072d7681a4a	TCGA-BRCA.b412fc52-5776-4ff9-b9c4-829efabfb377.ascat3.gene_level_copy_number.v36.tsv	6f959c92-b79f-4f84-9ee5-d07d3212d52d	TCGA-A8-A09K	Primary Tumor	6871927f-1488-4366-8545-439557a377aa
791bbb6f-def9-47aa-b189-297205b68d99	TCGA-BRCA.9ba65dff-5f6c-4d9e-8e58-8350a7c1dcbe.ascat3.gene_level_copy_number.v36.tsv	d093173f-08ab-4138-bf3c-399c45a6e163	TCGA-AR-A2LR	Blood Derived Normal	928a16e2-253d-4cd9-8b1a-25d93be98851
30003167-bdf8-4f83-95fc-338475d58e9b	TCGA-BRCA.bd4d930e-0848-48c1-8b03-c04a986f22d8.ascat3.gene_level_copy_number.v36.tsv	1557183c-aedd-4df6-b98a-3654667f7b69	TCGA-A8-A09I	Primary Tumor	a09a99f9-33e3-45d5-bfc2-f57ce149a527
c6f9fe48-ce30-4f14-9e34-f90324678f1f	TCGA-BRCA.89a93ef7-73a7-451f-9c83-251b827f02c6.ascat3.gene_level_copy_number.v36.tsv	1502c7d7-1535-4e56-9f34-30623acd50d5	TCGA-B6-A1KC	Primary Tumor	0cc10a1e-a90a-4c55-87a2-a74d47474a4a
250d1e71-f1b2-4628-984e-d70b40bf508b	TCGA-BRCA.fdc086da-5ae1-4600-9039-4ea5c1fb7655.ascat3.gene_level_copy_number.v36.tsv	e17c565c-9857-4df3-a352-903b53093c85	TCGA-AO-A0JI	Primary Tumor	630613d2-682f-4a1a-b1fa-95320fb9a9b7
29007326-ac66-4b2d-be13-24a2b6b1e3aa	TCGA-BRCA.fcd41d63-c0f1-4f8e-ad1f-ea398203a3a4.ascat3.gene_level_copy_number.v36.tsv	b7a4df9a-4e25-4550-9c10-338ca1921c2f	TCGA-E9-A1R4	Blood Derived Normal	67bf0f7b-8aed-4cc5-806d-df55c586f197
