ensg_id	symbol	delta_mean	direction	mw_pval
ENSG00000135069.14	PSAT1	1.818292	UP_Basal	0.000000
ENSG00000054598.9	FOXC1	1.817741	UP_Basal	0.000000
ENSG00000163064.7	EN1	1.778847	UP_Basal	0.000000
ENSG00000198729.5	PPP1R14C	1.755157	UP_Basal	0.000000
ENSG00000119866.22	BCL11A	1.737593	UP_Basal	0.000000
ENSG00000174607.11	UGT8	1.717740	UP_Basal	0.000000
ENSG00000105173.14	CCNE1	1.692324	UP_Basal	0.000000
ENSG00000148468.17	FAM171A1	1.672793	UP_Basal	0.000000
ENSG00000176597.12	B3GNT5	1.650587	UP_Basal	0.000000
ENSG00000227036.8	LINC00511	1.632479	UP_Basal	0.000000
ENSG00000144681.10	STAC	1.620363	UP_Basal	0.000000
ENSG00000144354.14	CDCA7	1.619176	UP_Basal	0.000000
ENSG00000081985.13	IL12RB2	1.610558	UP_Basal	0.000000
ENSG00000164626.9	KCNK5	1.589340	UP_Basal	0.000000
ENSG00000203760.9	CENPW	1.588510	UP_Basal	0.000000
ENSG00000073464.13	CLCN4	1.587662	UP_Basal	0.000000
ENSG00000183943.6	PRKX	1.583113	UP_Basal	0.000000
ENSG00000105926.16	PALS2	1.572001	UP_Basal	0.000000
ENSG00000131019.11	ULBP3	1.565852	UP_Basal	0.000000
ENSG00000140511.12	HAPLN3	1.561999	UP_Basal	0.000000
ENSG00000163879.11	DNALI1	-1.843594	UP_Luminal	0.000000
ENSG00000092068.20	SLC7A8	-1.845589	UP_Luminal	0.000000
ENSG00000169083.18	AR	-1.848197	UP_Luminal	0.000000
ENSG00000178568.15	ERBB4	-1.852232	UP_Luminal	0.000000
ENSG00000187720.14	THSD4	-1.861921	UP_Luminal	0.000000
ENSG00000168350.8	DEGS2	-1.869338	UP_Luminal	0.000000
ENSG00000124664.11	SPDEF	-1.878596	UP_Luminal	0.000000
ENSG00000204385.13	SLC44A4	-1.883231	UP_Luminal	0.000000
ENSG00000109436.8	TBC1D9	-1.914606	UP_Luminal	0.000000
ENSG00000106541.12	AGR2	-1.920552	UP_Luminal	0.000000
ENSG00000107485.18	GATA3	-1.923399	UP_Luminal	0.000000
ENSG00000139865.16	TTC6	-1.926877	UP_Luminal	0.000000
ENSG00000074410.14	CA12	-1.935242	UP_Luminal	0.000000
ENSG00000248360.7	LINC00504	-1.935904	UP_Luminal	0.000000
ENSG00000173467.9	AGR3	-1.938185	UP_Luminal	0.000000
ENSG00000176532.4	PRR15	-1.970538	UP_Luminal	0.000000
ENSG00000091831.24	ESR1	-1.978478	UP_Luminal	0.000000
ENSG00000100219.16	XBP1	-1.982357	UP_Luminal	0.000000
ENSG00000115648.14	MLPH	-2.037343	UP_Luminal	0.000000
ENSG00000129514.8	FOXA1	-2.092026	UP_Luminal	0.000000
